Age  north=Enusmu
Dodosne  north=Elenu west=Megama
Modagu  east=Musnu west=Ememusma
Magilnu  north=Eludinu
Enodu-E  south=Mudemo east=Emolosmu
Dismime  south=Aludu west=Dasnasmisno
Elmudixe  north=Enu-Esma east=Egilegu
Anodule  north=Musmema
Egegolo  north=Axusmo west=Exexano
Elemolmo  north=Esmusmixismu south=Aligu east=Moligu
Aximo-Me  east=Modu-A west=Degasnisme
Egodosnige  east=Enixodu west=Mesnesne
Alnene 
Dene  north=Molemiline west=Mexiga
Elneme  north=Migexa east=Do-Ego west=Digela
Megolmixa  south=Asnininina east=Anismimismu
Esnixima  north=Esmila east=Dodosnigu west=Alixesme
Almigu  north=Esmalixa south=Asniligo east=Daxila west=Dodene
Dasnulu  north=Exanalma south=Masmesmimo east=Agudu-Do west=Emodulu
Delaxa  south=Mosninimismo
Modilno  north=Enigale
Esme  east=Amolilne
Molnamo  north=Asminu west=Dusnolmo
Mosnesme  north=Asnexo west=Exelasnu
Agu-Elo  north=Megamige east=Musne
Daxige  north=Dasnelu south=Maxusme
Dagasna  north=Musnismo west=Migaxo
Mino  east=Dodo-E west=Mu-Daxo
Ego-Eno  south=Desmena east=Amu-Mimo
Anexalisna  north=Exodisno west=Exaliga
Axamaxu 
Megamo  east=Mismu
Mismela  east=Axu
Dasmosno  north=Meximo south=Manixu east=Alaxasne west=Egasmu
Mulosmixo  south=Enanegu west=Milnane
Esmasmo  south=Amudolmu west=Dalnodu
Anigeno  south=Dudigu east=Asmosne west=Alosmu
Mudo-Mimo  east=Exasno west=Daxode
Dosnoda  east=Memixo west=Exo-Alu
Emigisnigu  west=Mesnolmu
Musnimo  west=Mimelisna
Dulmemisne  east=Elaxisme west=Alelexixe
Male  north=Mudela east=Minu-A
Egolisniga  north=Exale west=Molemiline
Dosme  south=Anine
Ageginu  north=Elilme east=Damesmu
Asmusnina  south=Enudosma east=Asmalo
Digela  south=Dilmo east=Elneme
Elene  north=Melmusnu east=Manila
Dosmesma  north=Amelu-E west=Exelnigo
Elinesnu 
Eninusno  north=Axaxaga east=Molame
Amudo 
Exolo  east=Dimulmo
Asnalime  east=Anagiga west=Molnosno
Dosnu-A  west=Mamegixa
Dimolilu  east=Esninixilmo
Alno-Me  south=Exoleme east=Egesnu
Exolodo  north=Dagelmu east=Dexu
Digo-A  west=Doliga
Axudu-Minisma  east=Egigosmu west=Dudaga
Masmudime  east=Elamo
Migosna  north=Musninu east=Dosmolixo
Exodelmige  north=Mo-Asnile
Eludinu  north=Anale south=Magilnu west=Damosmu
Mudemo  north=Enodu-E east=Mesmexa west=Esmixiliga
Mimena  north=Malnu-A south=Asna west=Emo-Asne
Enu-Esma  north=Musmigu south=Elmudixe east=Axu-Do west=Maxegu
Musmema  north=Mu-Dagime south=Anodule
Axusmo  north=Emanelo south=Egegolo
Aligu  north=Elemolmo east=Dalime
Elamismo 
Maxusmu 
Exigiga  west=Mo-Ana
Anismimismu  east=Mismexe west=Megolmixa
Mexesna 
Misminu  south=Daxesnixu east=Misnude west=Enina
Agasno  west=Dexesmu
Anolola  north=Mosnemo east=Mudo-Da
Masnago  north=Enodelnige
Elodimo  north=Do-Dema east=Minega
Memasmo  north=Du-Emo west=Migalmilu
Elaxala  north=Mulosna east=Delilo
Mimemu 
Asminu  south=Molnamo
Asnexo  south=Mosnesme west=Dolmasmixu
Dudesme  south=Esninixilmo east=Mu
Agasnilisne  south=Agimigino west=Dulimo
Anisne  west=Dududisma
Disnina 
Emu-Emu 
Dexinu  west=Exinulnilo
Mo-Dema  south=Amixamo east=Diminu
Mudisna  east=Esnulna
Enimusna  north=Elnixe west=Daximu
Meximo  south=Dasmosno west=Musmodigu
Eginusnixa  north=Exudeno west=Misnelnu
Amudolmu  north=Esmasmo south=Degega west=Mexaxa
Dudigu  north=Anigeno east=Egodixu west=Mudismu
Dexu-E  south=Axisno east=Desnena west=Mo-Mudimo
Mulmesmisminu  south=Mimu-De west=Eno-Ma
Amenixo  east=Axulo west=Milexo
Megemu  west=Desmalu
Elisnilo  north=Enilegisna
Mudela  south=Male
Exale  north=Amemosno south=Egolisniga east=Migaxe
Anine  north=Dosme west=Dulixu
Elilme  south=Ageginu east=Du-Malmu
Dixesme  north=Enanusne east=Denelo west=Anigusme
Dilmo  north=Digela south=Axexago
Melmusnu  south=Elene east=Enode
Amelu-E  south=Dosmesma west=Damega
Mixemu  north=Musmosne west=Enagemu
Mu-Alma  east=Agolexixixu
Dilolmo  east=Elo-Ene
Agulasnu  west=Dulilo
Amemala  north=Emexage east=Ego-Mo
Axeno-Du  north=Dagula south=Mesnu east=Alnusna
Emisnima  south=Aminosme
Muluda  north=Axudenu south=Dinexinu east=Emisna
Degaxa  north=Agesma east=Esnulma west=Mo-Asmino
Dudisne  east=Almodo
Minoligimu  east=Dismudimu west=Maxima
Mu-Danu  west=Anale
Musninu  south=Migosna east=Dusme west=Alasme
Mo-Asnile  north=Desmale south=Exodelmige
Anale  south=Eludinu east=Mu-Danu west=Esmane
Manola  east=Esnosmo west=Alinudo
Asna  north=Mimena east=Do-Dema
Musmigu  south=Enu-Esma east=Dixile west=Dosnasmo
Asnusmima  north=Memixime east=Anenaxe
Elmigo  north=Mexine west=Asnanixa
Elagude  south=Elimime east=Alasmila west=Alnilmigixismixiga
Elamaxe  west=Do-Dudu
Mu-Alu  north=Mo-Digo west=Demila
Mino-E  north=Agemaginiga east=Exismiga west=Denalu
Digesmu  south=Mu-Dusna
Elilodu 
Memixo  east=Egasmigo west=Dosnoda
Asmodixu  west=Exenoda
Exasme  east=Elma west=Mulnulnixe
Musmosma  north=Minodu east=Egasna west=Magelu
Demo-A  north=Esmismo west=Digixinu
Exagule  east=Egudulo west=Amano
Enanusnile  north=Desma
Melilne 
Disno  west=Esmasne
Degulo  west=Mixesmu
Emolmo  south=Dolilo west=Agilusna
Examosma 
Mosnimu  east=Exenoda
Elixolu  south=Dalaxinu
Melnulo  west=Enixama
Delelna 
Amixamo  north=Mo-Dema south=Emexusnu west=Misname
Agudu-Do  west=Dasnulu
Elnixe  south=Enimusna east=Demega
Eline  east=Mismane
Dexale  east=Exigeximu west=Desma
Milmeme  south=Du-Ama east=Agilusna west=Asmudo
Dalmene  east=Milismimina
Du-Ala  north=Dagane east=Dulismige west=Mexine
Dosnasmo  south=Maxegu east=Musmigu west=Amolilne
Exaxelu  east=Emusna
Exexano  south=Exexana east=Egegolo
Masnexo  north=Megude south=Axexu-A west=Alilamo
Exala 
Manudu 
Demesno  south=Emenanima west=Egismu
Mulemu  south=Esmolnu west=Demalmimismu
Delesno  north=Egolmo south=Mosnusmigu
Esnalno  north=Dusmilu west=Magode
Alixudo  west=Alimano
Enusnu 
Dusmamismo  east=Emo-Mu west=Enimusmimo
Esmexe  south=Aminoda
Esnudo 
Emexage  south=Amemala east=Anolesno west=Mu-Mesna
Mesnu  north=Axeno-Du south=Agududisna east=Asmile west=Alixegu
Aminosme  north=Emisnima
Dinexinu  north=Muluda east=Eludage
Agesma  south=Degaxa
Memu-Du 
Mula  east=Demege
Desmusma  south=Exudigu east=Musnu-E
Minile  north=Mixolixe
Amusno  west=Anosmu
Mesmusno  north=Do-Dexo west=Migasne
Asmelo  west=Eminuda
Egusmiga  south=Megelo east=Asnago west=Axilenu
Alu-Me  east=Dasno-E west=Amamole
Dulmame  east=Mesnulima west=Delana
Mimismu  east=Elasmu
Dudiga  east=Minelo
Digolmu 
Delmemu 
Agemaginiga  south=Mino-E west=Dagudigo
Molemiline  south=Dene east=Egolisniga west=Megole
Egemo  east=Delasma west=Dulige
Egelegixe  west=Alisnu
Masmudo 
Modama  east=Axagusme west=Emudesno
Egodude  north=Migelu east=Dalismu west=Egemu
Elaxexigu 
Axolasno 
Axexusmo  south=Enimaga
Masmila  east=Dimelixilnu
Degosno  west=Agulime
Anusno  east=Agulexu west=Mo-Digo
Mexexa  north=Dododima west=Enexolo
Axesnixo  east=Damosna
Milixa  south=Esmulme
Egilnino  east=Asmo
Amege  west=Maxaga
Dilnimo  south=Amilala east=Mudasnima
Dusnesmu 
Amimilo  south=Mo-Exixe east=Masnuda
Dasmosnu  east=Enudosma west=Egimo
Esnalu  west=Dismago
Emusnimixa 
Axelne  south=Axelna west=Misnismimilo
Dagane  south=Du-Ala west=Enegigo
Maxegu  north=Dosnasmo east=Enu-Esma west=Dege
Agimo-E  north=Maxosme east=Mo-Mu-E west=Melo-De
Exexana  north=Exexano west=Egemamo
Axexu-A  north=Masnexo east=Malamilima west=Dexino
Dexane  west=Enamino
Amudamo  north=Emamamu east=Dusmo west=Dudesno
Emenanima  north=Demesno east=Emegu west=Esmine
Esmolnu  north=Mulemu west=Ananime
Mosnusmigu  north=Delesno east=Anexudilo west=Maxene
Dusmilu  south=Esnalno west=Esmasme
Dilmola  east=Mosnemo
Esmele  east=Enalnu west=Degulna
Mismismu  east=Agaxeme
Esmelma  east=Daxesnilo west=Esmolo
Mimosma  west=Dexulmo
Asninu  north=Denola east=Anodigismo west=Amesnu
Dilolima  south=Amesme west=Do-Dusmixu
Axexolnu  east=Alnelmu
Mimile 
Eludolismu  west=Aligolnu
Danenu  north=Dulima
Dodosmilne  north=Ego-Exu east=Mesnolmu
Enode  south=Manila east=Mimelisna west=Melmusnu
Exudigu  north=Desmusma south=Manulu east=Masnu-De west=Exosmiline
Dasnaxilo  east=Mesnosnixo
Egamo-A  east=Disnusmo west=Mismisne
Aludeno  east=Magulo west=Axudolo
Dolu-E  east=Anenelilu west=Misme
Desmu  east=Anamexe
Malnu-A  south=Mimena east=Malamu west=Damosna
Dimosnu  west=Axulenino
Dudusnimo  west=Anodigo
Mudosne  west=Danasna
Axo-Elu 
Delasne  east=Du-Egu
Mo-Diga  west=Dulmo
Dilasnixe  south=Enudolo east=Menamigu
Musmaxiga  east=Maxusme west=Me
Egoligu 
Dixiga  north=Denodimu west=Mismilo
Dulmela  north=Exane east=Dismisno
Melmixu 
Malamu  east=Elenismu west=Malnu-A
Memasme  east=Dinime
Amosme  east=Dimo
Digolo  east=Enududu
Dudusmixa  east=Alenu west=Alenude
Mudege  south=Anu-De east=Mimu-Mixe
Esninixilmo  north=Dudesme west=Dimolilu
Minamo  east=Daxexo west=Mulmulilo
Esmolmo  east=Emuline west=Dosmelilixa
Exalu  east=Mamole
Aginu  north=Migemu east=Elisna west=Mamu-A
Do-Mole  north=Molmudisma east=Denodilmu
Damime 
Milnelu  north=Desnode east=Dudanismila west=Dudosno
Enulma  east=Axosmu
Mo-Du  west=Dudalixine
Du-Emo  south=Memasmo east=Disnula
Minolo  west=Melnudililu
Mo-Dolno  north=Alinu-Da east=Mino-Du west=Minega
Agolanu  south=Amilo-Da east=Egago-Dixa west=Modexa
Emodulna 
Delana  north=Dilina east=Dulmame west=Dudixu
Enilegisna  south=Elisnilo west=Eximolna
Axudine  north=Axisma east=Alolne
Dusmudino  north=Menu-Do east=Agodu west=Migusna
Mudaxixo  north=Milesmu east=Minula
Alaxasne  east=Emosme west=Dasmosno
Dexusme  south=Dexusma west=Mosninimismo
Dudininime  north=Esnixe south=Enu-Emina east=Enodu
Asnege 
Musmosne  south=Mixemu
Anulo 
Musnusno 
Mu-Ame  east=Anusme west=Exixe
Dusmago  south=Dusmagu east=Exosnigo
Dexosna  east=Esmiximu west=Elulilo
Danimu  east=Egilege
Degago 
Axixixa  east=Do-Du-E west=Mulule
Dulima  north=Mulmulilo south=Danenu west=Musmusno
Ego-Exu  north=Esmama south=Dodosmilne east=Minamixisme west=Egimu-Du
Manila  north=Enode south=Enodo east=Esne west=Elene
Esmisma  north=Melmala south=Mosmu-Da west=Emulnixu
Esnosme 
Dilosnu  east=Mo-Exixe
Moduda  east=Agalemo west=Dodesnu
Asmele  east=Eludenilnisno west=Alegaxisme
Dala  north=Elemaxe east=Dixegigo
Damismu 
Agaxalne  south=Enaxodilnine west=Asmexu
Exosmilige  south=Anosnu east=Milusmo
Amexu-A  south=Molasne east=Dasmemo west=Dolmu-E
Amolo-A  west=Emigelne
Dusnela  south=Agosno east=Anixaxe west=Almolna
Elagexo 
Mo-Dasmo 
Molnegixilu 
Asnaxu  south=Egema east=Axuline west=Anosnisme
Alodu-A  north=Enosnu east=Amixila
Dilosminimu  west=Esmelu
Mimudo  north=Eneganige west=Danasme
Menole  north=Mexegimu east=Dilelu west=Elusnu
Alalu 
Magulmigo  east=Musminina
Disnelilnilnu  east=Egudege west=Anemexu
Agulne  east=Egosmu
Desmegu  west=Alusnixe
Amodo-Du 
Mosnisne  east=Axilenu
Do-Egina  north=Eginega south=Dododima east=Du west=Egudaxo
Mismexe  south=Eninena west=Anismimismu
Misnude  north=Esmulme south=Daxelu east=Mimosnigu west=Misminu
Enismigu  north=Migo-A east=Asme west=Dilmusna
Egigile  south=Amalu-Mu east=Egenema west=Enalude
Dalismu  west=Egodude
Esnanu  south=Axasmo east=Axigu-A
Dulmismu 
Modusnilmo 
Digala  south=Exulexu east=Megu-Da
Amelne 
Elemesme  east=Alixusna
Agimo-De  south=Alu west=Axena
Amexeno  south=Desnasmo
Asmasne 
Axisma  north=Mesmige south=Axudine east=Desnesna west=Esnigo
Menu-Do  north=Agulamino south=Dusmudino east=Menilo
Milesmu  south=Mudaxixo east=Amo-Milne west=Ano-Ega
Enudosma  north=Asmusnina east=Esnesma west=Dasmosnu
Dexusma  north=Dexusme east=Dalesminu
Esnixe  south=Dudininime east=Agosnime
Dusnaxu  south=Esnimismo west=Agusne
Digule 
Molage  east=Misname west=Mudodigu
Esnenimo  north=Dimelixilnu east=Egixene
Mimema  east=Dismigo west=Mosnano
Damege  west=Agodusma
Dilixe  east=Dismage west=Dusmolnina
Enenesme  east=Asmudo
Exudege  east=Axaximu
Do-Ame  north=Melodo east=Mulu-E
Mulmulilo  south=Dulima east=Minamo west=Axamulo
Esmama  north=Alosno south=Ego-Exu east=Emalno
Mismina  east=Mududima
Mosmu-Da  north=Esmisma east=Mexu-Du
Dusno  east=Dixelmo
Desmemu 
Degusnu  south=Emegusmo east=Enixode
Emo-Me  west=Dalno-A
Mu-Mo-E 
Anodigismo  west=Asninu
Deximililu 
Damima 
Daxusna  north=Menigixu west=Esnexe
Elmusno  east=Maxima west=Ena
Amesne 
Mesnolmu  north=Minamixisme east=Emigisnigu west=Dodosmilne
Exudoline  west=Mo-Ano
Exodusmo  east=Daxa
Dosmosno 
Demala  west=Moligo
Ano-Ega  north=Digima east=Milesmu west=Egalusmo
Mimulixe  west=Egenu
Dodelma 
Do-Dema  south=Elodimo east=Muline west=Asna
Asmudine  west=Melnula
Mege 
Delasma  east=Daloda west=Egemo
Maxima  south=Mo-Milu east=Minoligimu west=Elmusno
Axalnino  east=Asmu-Me
Dulu-Da  south=Enilo-E east=Agexu-Ma
Dododima  north=Do-Egina south=Mexexa east=Disno-Ma west=Emamila
Exixo-Me  north=Eno-Ma south=Exagaxe east=Mimu-De west=Amixila
Esmulme  north=Milixa south=Misnude east=Emimu-Misma
Migo-A  south=Enismigu east=Exesmiximu
Mo-Asmino  south=Amanano east=Degaxa west=Dudame
Musminu  east=Dimale west=Agima
Mismeligo  east=Amimexe
Dimuda  east=Enixixismiga
Dulila  north=Dusnosme south=Misnama east=Axasnisnu
Masmaxa  north=Dudemu east=Meno-De
Dalamile 
Esmaxu  west=Enilinisne
Aligimigu  south=Almimisnu
Maxosme  south=Agimo-E east=Axaxege west=Aganole
Agu-Do 
Mesmige  north=Exenesme south=Axisma east=Exinisnigigigu west=Mexema
Mulnusne  east=Musmisnigilmila
Aginasnu  west=Dudagu
Demosmu  south=Doligu east=Asmama
Enano  south=Aginemo east=Agala west=Agimu
Mulnalo 
Agilusna  north=Amexo east=Emolmo west=Milmeme
Daxo-A  east=Mimeno west=Axelna
Agemo  south=Agagisnisno west=Alego-A
Mameno  south=Degema west=Muleno
Asmodo 
Amisnu  south=Dalmu east=Musmege
Elaxisme  west=Dulmemisne
Alolne  north=Desnesna west=Axudine
Egu-Ma  west=Enisma
Malmu  south=Denixo
Mosmala  north=Anu-Exo east=Do-Mela
Amenilo  north=Emesnu
Migige  west=Milmosma
Anigime  south=Demalmo east=Melo west=Exigamo
Migusne  north=Amelmo east=Exisna west=Asnilniga
Alegiga  west=Mosmixixu
Desmale  north=Delelisna south=Mo-Asnile west=Dulo-A
Ano-Me  north=Axudolo
Alixesme  south=Exula east=Esnixima
Mulnulnixe  south=Egusmigo east=Exasme
Dulmosninu  south=Alu-Mu east=Migexisnixe
Masmusno  east=Dudeme
Menigixu  north=Emaxe south=Daxusna west=Agu-Da
Dodegine 
Agusna  north=Dixaxe south=Musmamo west=Mude
Mulmo-E  north=Mesnago
Dosnule  east=Malexo
Desnismu  north=Elusme south=Elusma west=Degilo
Alodode 
Asmanisnu  west=Agemosmisne
Denodimu  south=Dixiga east=Maxolu
Dilu 
Modamo  south=Axo-Me east=Agude
Asnago  north=Malego west=Egusmiga
Denudu  south=Agusne
Esnela  south=Do-A east=Egesmo west=Asmile
Meme  south=Eligusmu east=Axusmimu west=Elixemililo
Dexoda  east=Anesna
Axodode 
Anu-De  north=Mudege east=Axanasnigixime
Enilo-E  north=Dulu-Da south=Disnusmiga east=Anilema west=Agu-Me
Doludixa  north=Do-Dusmixu south=Eginega east=Amesme west=Dolmesme
Exagaxe  north=Exixo-Me east=Dasnasmisno west=Mosnulisme
Migaxismo  west=Migimo
Anenudu  north=Egasmigo south=Do-Dinu east=Exaxaxo
Maxolu  east=Dixudo west=Denodimu
Amelelmu  north=Dimolu east=Anodigo
Dodu-E  east=Minige
Amanano  north=Mo-Asmino
Axagusme  south=Exigo west=Modama
Amuda  east=Dalmoda west=Aninu-E
Damimo  west=Asnusmo
Egegusma  east=Emixexa west=Anexemilininixa
Dusnanu  north=Mesme east=Maxine
Anigusme  east=Dixesme west=Mano
Elina  north=Elmole east=Ano-Elixe west=Alulmigu
Dusnosme  south=Dulila
Enemulmiga  east=Egixema west=Mosmuda
Anosmu  east=Amusno west=Axisne
Anamexe  east=Damixu west=Desmu
Du-Ama  north=Milmeme south=Du-Ame
Meleno  south=Elininismu east=Alisna west=Dulego
Dismixu  north=Emelnu east=Elano-Do
Anixixa  north=Du-Asme west=Musnismo
Amilo-Da  north=Agolanu west=Elnilo
Almimisnu  north=Aligimigu south=Axulenino
Mosno-Ma 
Misnudisne  west=Axixala
Anagixa 
Dilina  south=Delana
Dolmu-E  east=Amexu-A west=Mulnile
Exenesme  south=Mesmige
Diminu  east=Mulesnismu west=Mo-Dema
Mudasnima  west=Dilnimo
Egema  north=Asnaxu west=Elmima
Dagudigo  north=Melmu south=Denalu east=Agemaginiga
Milnoda  west=Alexena
Emagude 
Dusnodinixa  north=Do-Amisne west=Miligu
Doligu  north=Demosmu east=Dusnasnu west=Danege
Elegosmimila  north=Malisnime
Aginemo  north=Enano south=Mo-Misma east=Mudu west=Migene
Dismixe  west=Mulmusno
Dosmexixigu  south=Agamanu east=Egamexina
Dudele  east=Enigo
Amexo  south=Agilusna
Dasmu-Mima 
Musnena  east=Malusma
Agagisnisno  north=Agemo south=Enusna east=Dudolne
Elmelo  east=Agamele west=Magimo
Anusma  south=Dolego east=Mimusnisma
Degema  north=Mameno south=Migasne east=Do-Dexo west=Agigulixo
Dosno-Do 
Ege  north=Enododa east=Eginaga
Anilo-Mo  east=Musnaxe
Masnisne  north=Axusnino east=Miga west=Alusma
Ago-Ago  east=Dolego
Mu-Milmu  east=Alo-Mu west=Agolo-Mima
Egegelmu  south=Agudasmu
Exaliga  east=Anexalisna west=Asmo
Eminigu 
Anaxamo  east=Almismo west=Mu-Anu
Mu-Mu-E  east=Manodo
Mudige  east=Dixulnilu west=Melasma
Dusmola  east=Alosmu west=Elnilminigu
Axenemo  south=Menu-A east=Migene
Denixo  north=Malmu south=Manesmo east=Masne
Mixolo  north=Amasna west=Amamilu
Dusnasno  south=Milo-Mu
Anu-Exo  south=Mosmala east=Dagilo
Esnesma  north=Asmalo east=Megama west=Enudosma
Amudimixo  west=Mismu-A
Emesnu  south=Amenilo
Maxo-Mu 
Daxoligu  south=Asnesninixu
Demalmo  north=Anigime west=Musnexa
Manule  east=Delaninixu
Ememolo  north=Exu-Axime
Dexisma  south=Masmimu east=Mudolixa west=Alo-A
Mixusnilina  east=Egemamo
Mimilixe  south=Du-Dalu
Degodige  south=Almasnixa east=Magimino
Delelisna  south=Desmale
Modemo  north=Emegusmo east=Malelna
Mulmimilo  north=Emo-Mu east=Exigago
Eludino  east=Eninimu
Exula  north=Alixesme
Elemaxe  south=Dala
Megelo  north=Egusmiga
Mosmu-Miniximo  north=Eludodo
Axo-Alisnixo  east=Du-Ame
Axinulu  north=Exudusma
Enaxodilnine  north=Agaxalne west=Diginige
Esmimu  east=Dudo-Mo
Emaxe  south=Menigixu
Enegigo  south=Mexine east=Dagane
Molasne  north=Amexu-A
Migilna  west=Demasme
Minixila  east=Elosno west=Dusnasnu
Musmamo  north=Agusna west=Milnigigu
Emu-Me 
Emalno  north=Mixuda south=Minamixisme east=Masmolu west=Esmama
Du-Maxe  south=Enu-E east=Degixe
Agu-Mo 
Dusmigimilna  north=Digixinu south=Dosnulu
Ego-Do  east=Mismisne west=Agisne
Agigudu  south=Esnemilu east=Molola
Dulego  east=Meleno
Elusme  south=Desnismu east=Asno
Asmelnismixa  east=Molnosno west=Exudima
Minixo  north=Anelaxo east=Amagemo
Malagisma  north=Do-Aga
Dixole  north=Enixelo
Elmima  north=Anosnisme south=Egolu-E east=Egema
Enosnu  south=Alodu-A east=Mu-Dulo
Egago-Dixa  east=Emaxosna west=Agolanu
Miligu  east=Dusnodinixa west=Dilanilu
Elosmigo  west=Esmu-Da
Axu-Ama  north=Agisna east=Musmusmigu west=Mudexe
Emagasmo  west=Manelu
Malego  south=Asnago
Malexo  east=Malnago west=Dosnule
Agusne  north=Denudu east=Dusnaxu
Malosno  east=Emanamisno west=Duloda
Milimilnixinigine  south=Agilusmo west=Agosnine
Do-A  north=Esnela east=Masmolmo west=Amigama
Mulosna  south=Elaxala east=Mimilne west=Dinenime
Enimaga  north=Axexusmo south=Axudane east=Emame west=Enegenixu
Axuline  east=Do-Memo west=Asnaxu
